instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
38,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3667360097169876,0.5044196546077728,0.3617402215798695,0.5490157008171082,0.3407821208238601,0.6804482638835907,0,1,0.0,0.1760286092758178
39,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3640530705451965,0.484144926071167,0.3519085745016734,0.631874163945516,0.3354940116405487,0.6828407347202301,0,1,0.0,0.1986958086490631
40,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3623693436384201,0.482379287481308,0.3586640357971191,0.5607263445854187,0.3369716703891754,0.7160616517066956,0,1,0.0,0.2336823642253875
41,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3636770099401474,0.4773991554975509,0.3660354316234588,0.5963683724403381,0.3452029675245285,0.7010629177093506,0,1,0.0,0.2236637622117996
42,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8034887909889221,0.5131376087665558,0.8081902265548706,0.6101283033688863,0.8029240071773529,0.6940433382987976,0,1,0.0,0.1809057295322418
43,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8114850223064423,0.4624974429607391,0.8164047797520956,0.5047668615976969,0.8163855671882629,0.6715987324714661,0,1,0.0,0.2091012895107269
44,rotate_down,0,0,0,0,0,1,1,0,0,0,0.7982227802276611,0.4470168352127075,0.7947196761767069,0.4408189952373504,0.804401159286499,0.4785788208246231,0,1,0.0,0.0315619856119155
45,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8583986759185791,0.5108352303504944,0.8586415847142538,0.5657090743382772,0.8438014090061188,0.682467132806778,0,1,0.0,0.1716319024562835
46,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8318709433078766,0.4728728383779526,0.8377250035603842,0.5048890113830566,0.8383075296878815,0.6801588833332062,0,1,0.0,0.2072860449552536
47,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6419581770896912,0.3733084499835968,0.644315501054128,0.374647965033849,0.6494278609752655,0.3789045959711075,1,0,0.0074696838855743,0.0
48,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6540181636810303,0.5577061772346497,0.6475720802942911,0.4919800460338592,0.6346810758113861,0.7156947553157806,0,1,0.0,0.1579885780811309
49,rotate_down,0,0,0,0,0,1,1,0,0,0,0.7281797528266907,0.4213615506887436,0.7274998625119528,0.4197899003823598,0.725677877664566,0.4785426259040832,0,1,0.0,0.0571810752153396
50,rotate_down,0,0,0,0,0,1,1,0,0,0,0.7080273032188416,0.3760673850774765,0.7065159678459167,0.373987078666687,0.7054676711559296,0.4016090035438537,0,1,0.0,0.0255416184663772
51,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6948777139186859,0.3658229410648346,0.6941810250282288,0.3651184539000193,0.6922634840011597,0.3679584413766861,1,0,-0.0026142299175262,0.0
52,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6900201737880707,0.4051830321550369,0.6730057597160339,0.6023565332094828,0.4816768020391464,0.6135337054729462,0,1,0.0,0.2083506733179092
53,rotate_down,1,0,0,0,0,1,1,0,0,0,0.7103340029716492,0.2678879648447037,0.7008469303448995,0.4103327790896098,0.6922000646591187,0.5748279392719269,0,1,0.0,0.3069399744272232
54,rotate_down,0,0,0,0,0,1,1,0,0,0,0.703452467918396,0.2252776995301246,0.6968593001365662,0.5104820529619852,0.6941348612308502,0.5692046880722046,0,1,0.0,0.3439269885420799
55,rotate_down,1,0,0,0,0,1,1,0,0,0,0.7041001617908478,0.2286876440048217,0.695035437742869,0.4176365435123443,0.689372718334198,0.5728951096534729,0,1,0.0,0.3442074656486511
56,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6965482532978058,0.2344052568078041,0.6871907909711202,0.3507072329521179,0.6882090866565704,0.5545595288276672,0,1,0.0,0.3201542720198631
57,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6911722421646118,0.3132496327161789,0.6939921776453654,0.3980940381685893,0.6839867830276489,0.6233462691307068,0,1,0.0,0.3100966364145279
58,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5898413956165314,0.4777795970439911,0.580074687798818,0.5207194288571676,0.5801000893115997,0.6358254849910736,0,1,0.0,0.1580458879470825
59,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5872266590595245,0.4821401983499527,0.5860236684481303,0.5243583917617798,0.5848025381565094,0.6382125616073608,0,1,0.0,0.1560723632574081
60,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5870223343372345,0.4913415908813476,0.5857677658398946,0.5287887255350748,0.5834372341632843,0.6499002873897552,0,1,0.0,0.1585586965084076
61,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5871211588382721,0.4965756237506866,0.587481419245402,0.5276631712913513,0.5829383730888367,0.6477266848087311,0,1,0.0,0.1511510610580444
62,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5899769961833954,0.4845176339149475,0.5851357579231262,0.5880379478136698,0.5863848626613617,0.6466194689273834,0,1,0.0,0.1621018350124359
63,rotate_down,1,0,0,0,0,1,1,0,0,0,0.2813639491796493,0.5000809729099274,0.2670105298360188,0.5719034075737,0.2713107764720917,0.6355805695056915,0,1,0.0,0.1354995965957641
64,rotate_down,1,0,0,0,0,1,1,0,0,0,0.2771503180265426,0.4977467209100723,0.2692717214425404,0.5985114971796671,0.2697712481021881,0.6237438321113586,0,1,0.0,0.1259971112012863
65,rotate_down,1,0,0,0,0,1,1,0,0,0,0.278932973742485,0.5085762143135071,0.2750435372193654,0.5874064962069193,0.2747680246829986,0.6517727971076965,0,1,0.0,0.1431965827941894
66,rotate_down,1,0,0,0,0,1,1,0,0,0,0.2814560085535049,0.5110351145267487,0.2744623919328053,0.6147441864013672,0.2716451585292816,0.6507179737091064,0,1,0.0,0.1396828591823578
67,rotate_down,0,0,0,0,0,1,1,0,0,0,0.2775165885686874,0.5057013034820557,0.2738294800122579,0.5882651408513387,0.2666314095258713,0.6559852063655853,0,1,0.0,0.1502839028835296
68,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8783045709133148,0.494765967130661,0.8736944198608398,0.5320014953613281,0.8791769742965698,0.6382647752761841,0,1,0.0,0.143498808145523
69,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8804914653301239,0.5073274970054626,0.8813470999399821,0.5792803963025411,0.8845688700675964,0.6266560554504395,0,1,0.0,0.1193285584449768
70,rotate_down,0,0,0,0,0,1,1,0,0,0,0.87920743227005,0.502963662147522,0.8820738196372986,0.5778238375981649,0.8825018107891083,0.6498308181762695,0,1,0.0,0.1468671560287475
71,rotate_down,0,0,0,0,0,1,1,0,0,0,0.879393607378006,0.5083760917186737,0.8757317860921224,0.573607325553894,0.8790137767791748,0.6395831108093262,0,1,0.0,0.1312070190906524
72,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8767691552639008,0.5096206963062286,0.8765349388122559,0.576944092909495,0.8769119083881378,0.6226428151130676,0,1,0.0,0.1130221188068389
73,rotate_down,0,0,0,0,0,1,1,0,0,0,0.644734799861908,0.4017477929592132,0.6332635283470154,0.477749506632487,0.5051427781581879,0.5398233085870743,1,0,-0.1395920217037201,0.0
74,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6531631648540497,0.3993377685546875,0.6414310733477274,0.5499189893404642,0.5078434497117996,0.5173866301774979,1,0,-0.14531971514225,0.0
75,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6496216654777527,0.3897914290428161,0.6423961321512858,0.4824525117874145,0.647272527217865,0.5786752998828888,0,1,0.0,0.1888838708400726
76,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6487306356430054,0.4001809805631637,0.6443508267402649,0.4801895519097646,0.5078453570604324,0.512673020362854,1,0,-0.1408852785825729,0.0
77,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6485278904438019,0.3417959958314895,0.647615651289622,0.520193467537562,0.6468009352684021,0.5653340816497803,0,1,0.0,0.2235380858182907
78,rotate_down,1,0,0,0,0,1,1,0,0,1,0.6584540009498596,0.1913649663329124,0.6485852400461832,0.4301548302173614,0.6517587304115295,0.4101873338222503,0,1,0.0,0.2188223674893379
79,rotate_down,1,0,0,0,0,1,1,1,0,0,0.6408944725990295,0.13738464564085,0.6358362237612406,0.3010214865207672,0.6339379251003265,0.412225142121315,0,1,0.0,0.2748404964804649
80,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6344248950481415,0.2048209607601165,0.6254281798998514,0.3576380312442779,0.6239412724971771,0.4175540506839752,0,1,0.0,0.2127330899238586
