instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
2250,rotate_down,1,1,0,0,0,1,1,0,0,0,0.8270360827445984,0.2540974467992782,0.8322955369949341,0.3420594533284505,0.8374463617801666,0.4491333663463592,0,1,0.0,0.195035919547081
2251,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8268893361091614,0.2576644718647003,0.832071840763092,0.3182492653528849,0.8357255160808563,0.4505414813756943,0,1,0.0,0.1928770095109939
2252,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8323140442371368,0.256328672170639,0.8395713170369467,0.3274365564187367,0.8407280445098877,0.4534140229225158,0,1,0.0,0.1970853507518768
2253,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8354254961013794,0.2532326281070709,0.8386630614598592,0.365510622660319,0.8394069373607635,0.4353647083044052,0,1,0.0,0.1821320801973343
2254,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6161353290081024,0.146459512412548,0.6122523347536722,0.2338225344816843,0.6031478345394135,0.3969933241605758,0,1,0.0,0.2505338117480278
2255,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6070167720317841,0.1208445280790329,0.5966490109761556,0.1925726532936096,0.5926999449729919,0.3972484916448593,0,1,0.0,0.2764039635658264
2256,rotate_down,1,0,0,0,1,1,1,0,0,0,0.599394679069519,0.1403856351971626,0.5894968310991923,0.2637463410695393,0.5875175297260284,0.3946092426776886,0,1,0.0,0.2542236074805259
2257,rotate_down,1,1,0,0,0,1,1,0,0,0,0.5920603275299072,0.1348352432250976,0.5951226154963175,0.2277060399452845,0.5901684165000916,0.3927865177392959,0,1,0.0,0.2579512745141983
2258,rotate_down,1,0,0,0,0,1,1,0,0,0,0.5876131951808929,0.1573501378297805,0.590133547782898,0.2961385945479075,0.5773102343082428,0.4034140259027481,0,1,0.0,0.2460638880729675
2259,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6592548191547394,0.4152441620826721,0.6548272569974264,0.3679662346839905,0.63995561003685,0.612491250038147,0,1,0.0,0.1972470879554748
2260,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6511727273464203,0.3142734915018081,0.630599578221639,0.5099405646324158,0.6303037703037262,0.6125742495059967,0,1,0.0,0.2983007580041885
2261,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6537287831306458,0.3605608642101288,0.6481788555781046,0.4540904064973195,0.6326514482498169,0.6482667922973633,0,1,0.0,0.2877059280872345
